nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
marcus tavernier,"FW,MF",1999,29,20,1939,3,5,6,0,53,128,129,2024-2025,premier-league
charlie taylor,DF,1993,8,3,356,0,0,1,0,3,9,7,2024-2025,premier-league
jack taylor,MF,1998,32,4,860,1,0,4,0,11,43,23,2024-2025,premier-league
mathys tel,FW,2005,13,11,911,2,1,2,0,28,21,72,2024-2025,premier-league
kenny tete,DF,1995,22,21,1774,0,2,5,0,34,63,54,2024-2025,premier-league
thiago,"FW,MF",2001,8,1,175,0,0,0,0,3,4,8,2024-2025,premier-league
luke thomas,DF,2001,14,13,1110,0,0,3,0,5,37,16,2024-2025,premier-league
youri tielemans,MF,1997,36,35,3026,3,7,4,0,39,235,48,2024-2025,premier-league
kieran tierney,"DF,FW",1997,13,2,259,1,0,0,0,8,15,29,2024-2025,premier-league
jurriën timber,DF,2001,30,27,2417,1,3,7,0,57,146,104,2024-2025,premier-league
jean-clair todibo,DF,1999,27,20,1825,0,0,3,0,9,38,5,2024-2025,premier-league
harry toffolo,DF,1995,4,1,137,0,0,1,0,0,2,4,2024-2025,premier-league
takehiro tomiyasu,DF,1998,1,0,7,0,0,0,0,0,1,0,2024-2025,premier-league
sandro tonali,MF,2000,36,28,2630,4,2,5,0,37,128,53,2024-2025,premier-league
pau torres,DF,1997,24,23,2020,0,0,2,0,40,97,8,2024-2025,premier-league
conor townsend,DF,1993,6,3,335,0,1,1,0,2,8,13,2024-2025,premier-league
adama traoré,"FW,MF",1996,36,18,1772,2,7,3,0,100,68,161,2024-2025,premier-league
boubacar traoré,MF,2001,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
mark travers,GK,1999,5,5,450,0,0,0,0,0,0,0,2024-2025,premier-league
ryan trevitt,MF,2003,1,0,4,0,0,0,0,0,0,1,2024-2025,premier-league
kieran trippier,DF,1990,25,14,1309,0,3,1,0,26,117,58,2024-2025,premier-league
leandro trossard,FW,1994,38,28,2546,8,7,4,1,80,101,226,2024-2025,premier-league
kostas tsimikas,DF,1996,18,9,837,0,1,2,0,17,76,43,2024-2025,premier-league
axel tuanzebe,DF,1997,22,20,1710,0,1,5,1,10,61,15,2024-2025,premier-league
destiny udogie,DF,2002,25,24,1924,0,1,2,0,54,121,94,2024-2025,premier-league
manuel ugarte ribeiro,MF,2001,29,22,1785,1,2,11,0,16,61,20,2024-2025,premier-league
lesley ugochukwu,MF,2004,26,18,1655,1,1,7,0,29,49,20,2024-2025,premier-league
enes ünal,"FW,MF",1997,17,2,345,2,1,2,0,4,12,22,2024-2025,premier-league
virgil van dijk,DF,1991,37,37,3330,3,1,5,0,22,198,6,2024-2025,premier-league
jamie vardy,FW,1987,35,35,2823,9,4,5,0,29,22,120,2024-2025,premier-league
renato veiga,"DF,MF",2003,7,1,181,0,0,2,0,4,7,3,2024-2025,premier-league
joël veltman,DF,1992,21,19,1697,0,0,5,0,32,85,34,2024-2025,premier-league
micky van de ven,DF,2001,13,12,1015,0,2,4,0,8,51,1,2024-2025,premier-league
bart verbruggen,GK,2002,36,36,3240,0,1,5,0,0,2,0,2024-2025,premier-league
jannik vestergaard,DF,1992,18,16,1391,0,0,5,0,3,32,2,2024-2025,premier-league
guglielmo vicario,GK,1996,24,24,2160,0,0,1,0,0,1,0,2024-2025,premier-league
carlos vinícius,"MF,FW",1995,3,0,16,0,0,0,0,1,0,3,2024-2025,premier-league
kyle walker,DF,1990,15,9,970,0,0,3,0,12,64,11,2024-2025,premier-league
kyle walker-peters,DF,1997,33,33,2918,0,2,5,0,114,139,144,2024-2025,premier-league
christian walton,GK,1995,7,7,630,0,0,0,0,0,0,0,2024-2025,premier-league
aaron wan-bissaka,DF,1997,36,35,3154,2,5,1,0,110,149,167,2024-2025,premier-league
danny ward,GK,1993,2,1,135,0,0,0,0,0,0,0,2024-2025,premier-league
joel ward,DF,1989,2,1,71,0,0,1,0,0,1,1,2024-2025,premier-league
james ward-prowse,MF,1994,15,12,1039,1,1,2,0,11,54,9,2024-2025,premier-league
james ward-prowse,MF,1994,9,5,400,0,1,2,1,1,16,3,2024-2025,premier-league
ollie watkins,FW,1995,38,31,2598,16,8,2,0,55,31,165,2024-2025,premier-league
adam webster,DF,1995,14,11,887,0,0,1,0,8,63,2,2024-2025,premier-league
danny welbeck,FW,1990,30,24,2115,10,4,5,0,21,47,95,2024-2025,premier-league
welington,DF,2001,10,6,482,0,0,1,0,5,11,19,2024-2025,premier-league
timo werner,"FW,MF",1996,18,4,516,0,3,0,0,42,30,89,2024-2025,premier-league
adam wharton,MF,2004,20,16,1318,0,2,2,0,14,107,11,2024-2025,premier-league
ben white,DF,1997,17,13,1198,0,2,2,0,23,59,42,2024-2025,premier-league
mats wieffer,"DF,MF",1999,25,10,1015,1,3,6,0,18,62,23,2024-2025,premier-league
neco williams,DF,2001,35,28,2594,1,3,7,0,68,89,103,2024-2025,premier-league
willian,"FW,MF",1988,10,2,257,0,0,0,0,11,40,33,2024-2025,premier-league
joe willock,"MF,FW",1999,32,11,1086,0,2,4,0,38,41,86,2024-2025,premier-league
callum wilson,FW,1992,18,2,370,0,0,1,0,5,4,17,2024-2025,premier-league
harry wilson,"FW,MF",1997,25,12,1162,6,1,2,0,22,51,96,2024-2025,premier-league
harry winks,MF,1996,22,17,1538,0,2,4,0,19,101,11,2024-2025,premier-league
ben winterburn,"MF,FW",2004,4,0,24,0,0,0,0,2,0,2,2024-2025,premier-league
yoane wissa,FW,1996,35,34,2919,19,4,5,0,60,67,154,2024-2025,premier-league
chris wood,FW,1991,36,35,2959,20,3,1,0,14,42,94,2024-2025,premier-league
nathan wood-gordon,DF,2002,11,9,773,0,0,2,0,2,17,0,2024-2025,premier-league
luke woolfenden,DF,1998,15,12,1187,0,0,2,0,7,15,0,2024-2025,premier-league
yehor yarmoliuk,MF,2004,31,15,1450,0,0,6,0,15,63,47,2024-2025,premier-league
ryan yates,MF,1997,35,18,1915,2,1,10,0,18,53,16,2024-2025,premier-league
leny yoro,DF,2005,21,12,1165,0,0,5,0,19,52,4,2024-2025,premier-league
ashley young,DF,1985,32,19,1875,1,3,7,1,24,90,32,2024-2025,premier-league
illia zabarnyi,DF,2002,36,35,3109,0,1,4,1,27,140,4,2024-2025,premier-league
oleksandr zinchenko,"DF,MF",1996,15,5,527,0,1,1,0,10,48,14,2024-2025,premier-league
joshua zirkzee,"FW,MF",2001,32,14,1402,3,1,2,0,14,44,69,2024-2025,premier-league
martin ødegaard,MF,1998,30,26,2325,3,8,4,0,92,258,154,2024-2025,premier-league
