nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
samuel dahl,"DF,MF",2000,2,0,43,0,0,0,0,1,2,4,2024-2025,serie-a
thijs dallinga,FW,2000,31,11,1154,3,2,1,0,9,17,84,2024-2025,serie-a
maat daniel caprini,FW,2006,1,0,7,0,0,0,0,0,1,3,2024-2025,serie-a
flavius daniliuc,DF,2001,18,9,1004,0,0,0,0,8,38,8,2024-2025,serie-a
danilo,DF,1991,12,6,581,0,1,2,0,16,45,7,2024-2025,serie-a
matteo darmian,DF,1989,29,20,1781,3,2,3,0,14,45,102,2024-2025,serie-a
juan david cabal,DF,2001,7,6,460,0,0,0,0,14,17,19,2024-2025,serie-a
keinan davis,FW,1998,23,10,1066,2,1,2,0,26,22,77,2024-2025,serie-a
paweł dawidowicz,"DF,MF",1995,26,24,1845,0,0,7,1,10,39,3,2024-2025,serie-a
charles de ketelaere,"MF,FW",2001,36,25,2070,7,7,1,0,108,140,211,2024-2025,serie-a
mattia de sciglio,DF,1992,16,7,769,1,0,0,0,4,18,7,2024-2025,serie-a
lorenzo de silvestri,DF,1988,18,13,1060,1,0,1,0,4,46,30,2024-2025,serie-a
koni de winter,DF,2002,25,23,2135,3,0,6,0,10,56,10,2024-2025,serie-a
alessandro deiola,MF,1995,29,16,1432,2,1,6,0,11,40,36,2024-2025,serie-a
enrico del prato,DF,1999,34,32,2947,4,0,8,0,8,81,31,2024-2025,serie-a
fisayo dele-bashiru,"MF,FW",2001,20,12,947,3,1,0,0,23,26,57,2024-2025,serie-a
ali dembélé,DF,2004,15,4,388,1,0,4,1,8,12,8,2024-2025,serie-a
michele di gregorio,GK,1997,33,33,2970,0,0,0,0,0,0,0,2024-2025,serie-a
giovanni di lorenzo,DF,1993,37,37,3330,3,2,6,0,50,224,163,2024-2025,serie-a
boulaye dia,"MF,FW",1996,35,27,2177,9,3,2,0,23,51,114,2024-2025,serie-a
assane diao,"FW,MF",2005,15,14,1252,8,1,2,0,50,36,116,2024-2025,serie-a
federico dimarco,"DF,FW",1997,32,28,2140,4,7,3,0,47,83,232,2024-2025,serie-a
berat djimsiti,DF,1993,34,32,2640,1,2,6,0,32,109,42,2024-2025,serie-a
dodô,DF,1998,34,34,3025,0,4,8,0,143,128,193,2024-2025,serie-a
benjamín domínguez,FW,2003,24,16,1281,3,2,0,0,50,32,123,2024-2025,serie-a
patrick dorgu,"DF,FW",2004,21,21,1840,3,1,2,1,68,54,117,2024-2025,serie-a
alberto dossena,DF,1998,23,20,1825,0,2,1,1,4,36,1,2024-2025,serie-a
