nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
serge gnabry,"FW,MF",1995,10,5,432,3,1,0,0,23,23,49,2023-2024,bundesliga
leon goretzka,MF,1995,30,25,2241,6,7,3,0,66,176,71,2023-2024,bundesliga
robin gosens,"DF,MF",1994,30,27,2283,6,3,9,1,21,97,113,2023-2024,bundesliga
mario götze,MF,1992,30,23,2068,3,2,5,1,22,115,118,2023-2024,bundesliga
jeffrey gouweleeuw,DF,1991,30,29,2593,1,0,7,0,33,143,17,2023-2024,bundesliga
jens grahl,GK,1988,2,2,180,0,1,0,0,0,0,0,2023-2024,bundesliga
ryan gravenberch,FW,2002,1,0,10,0,0,1,0,0,1,3,2023-2024,bundesliga
michael gregoritsch,FW,1994,32,19,1682,7,4,2,0,12,48,89,2023-2024,bundesliga
vincenzo grifo,"MF,FW",1993,32,29,2325,8,8,3,0,54,115,148,2023-2024,bundesliga
florian grillitsch,"DF,MF",1995,30,25,2295,1,6,8,0,32,152,22,2023-2024,bundesliga
álex grimaldo,DF,1995,33,31,2784,10,13,1,0,77,162,261,2023-2024,bundesliga
christian groß,"DF,MF",1989,20,8,797,0,1,1,0,17,46,5,2023-2024,bundesliga
brajan gruda,"MF,FW",2004,28,19,1641,4,3,5,0,100,71,167,2023-2024,bundesliga
ilia gruev,MF,2000,1,0,4,0,0,0,0,0,0,0,2023-2024,bundesliga
raphaël guerreiro,"DF,MF",1993,20,13,1191,3,0,2,0,36,86,90,2023-2024,bundesliga
josuha guilavogui,DF,1990,11,5,409,0,1,1,0,1,9,1,2023-2024,bundesliga
serhou guirassy,FW,1996,28,25,2208,28,3,0,0,32,56,183,2023-2024,bundesliga
péter gulácsi,GK,1990,13,13,1170,0,0,0,0,0,1,0,2023-2024,bundesliga
manuel gulde,DF,1991,27,23,2047,1,0,5,1,10,74,3,2023-2024,bundesliga
robert gumny,DF,1998,13,6,481,0,0,3,0,9,18,17,2023-2024,bundesliga
christian günter,DF,1993,15,13,1060,1,2,1,0,15,23,63,2023-2024,bundesliga
janik haberer,"MF,DF",1994,21,14,1221,1,1,7,0,10,47,36,2023-2024,bundesliga
robin hack,"FW,MF",1998,29,14,1348,10,2,2,0,50,46,103,2023-2024,bundesliga
amadou haidara,MF,1998,21,19,1526,2,1,5,0,8,97,11,2023-2024,bundesliga
sébastien haller,FW,1994,14,5,396,0,1,2,0,11,11,34,2023-2024,bundesliga
andreas hanche-olsen,DF,1997,15,12,992,1,0,5,0,1,19,0,2023-2024,bundesliga
isak hansen-aarøen,MF,2004,3,0,27,0,0,1,0,2,2,3,2023-2024,bundesliga
genki haraguchi,MF,1991,2,0,27,0,0,0,0,1,3,0,2023-2024,bundesliga
makoto hasebe,"DF,MF",1984,8,2,218,0,0,1,0,0,10,3,2023-2024,bundesliga
thorgan hazard,DF,1993,1,0,7,0,0,0,0,0,2,1,2023-2024,bundesliga
dominique heintz,DF,1993,12,6,568,0,0,0,0,10,30,16,2023-2024,bundesliga
benjamin henrichs,DF,1997,33,28,2526,1,5,5,0,53,124,161,2023-2024,bundesliga
patrick herrmann,"FW,DF",1991,8,0,86,0,0,1,0,3,6,8,2023-2024,bundesliga
piero hincapié,DF,2002,26,16,1484,1,2,2,0,34,102,50,2023-2024,bundesliga
adam hložek,"MF,FW",2002,23,5,459,2,3,1,0,14,13,33,2023-2024,bundesliga
nicolas höfler,MF,1990,28,26,2330,1,1,10,1,14,94,15,2023-2024,bundesliga
jonas hofmann,MF,1992,32,26,2204,5,7,3,0,63,119,221,2023-2024,bundesliga
philipp hofmann,FW,1993,29,18,1571,4,2,1,0,7,36,86,2023-2024,bundesliga
lucas höler,"FW,MF",1994,33,26,2305,7,2,7,0,24,49,153,2023-2024,bundesliga
fabian holland,"MF,DF",1990,23,23,1835,0,2,4,1,11,87,47,2023-2024,bundesliga
benedict hollerbach,"FW,MF",2001,28,15,1282,5,0,2,0,49,39,126,2023-2024,bundesliga
gerrit holtmann,"MF,FW",1995,10,2,392,0,0,1,0,13,18,20,2023-2024,bundesliga
franck honorat,"DF,FW",1996,32,28,2345,3,9,1,0,97,93,242,2023-2024,bundesliga
mathias honsak,"FW,MF",1996,23,10,1021,1,1,1,0,22,19,62,2023-2024,bundesliga
fraser hornby,"FW,MF",1999,7,1,217,0,0,1,0,7,2,7,2023-2024,bundesliga
lukáš hrádecký,GK,1989,33,33,2970,0,0,2,0,0,1,0,2023-2024,bundesliga
timo hübers,DF,1996,31,31,2778,0,0,6,0,19,104,3,2023-2024,bundesliga
mats hummels,DF,1988,25,20,1581,3,0,4,1,11,82,1,2023-2024,bundesliga
denis huseinbasic,MF,2001,26,18,1627,0,3,5,0,35,93,29,2023-2024,bundesliga
iago,DF,1997,23,18,1622,1,1,4,0,24,54,51,2023-2024,bundesliga
borja iglesias,FW,1993,7,2,256,0,0,0,0,3,5,19,2023-2024,bundesliga
joel imasuen,FW,2004,1,0,2,0,0,0,0,0,0,0,2023-2024,bundesliga
thomas isherwood,DF,1998,12,8,636,0,0,1,0,6,11,1,2023-2024,bundesliga
ko itakura,"DF,MF",1997,20,18,1596,3,0,9,0,14,36,7,2023-2024,bundesliga
hiroki ito,DF,1999,26,25,2228,0,2,1,0,29,121,32,2023-2024,bundesliga
lee jae-sung,"MF,FW",1992,29,24,2113,6,3,6,0,25,82,121,2023-2024,bundesliga
paul jaeckel,DF,1998,6,2,234,0,0,0,0,1,14,1,2023-2024,bundesliga
kristijan jakić,MF,1997,14,13,1051,2,1,4,0,11,56,10,2023-2024,bundesliga
kristijan jakić,"MF,FW",1997,4,1,200,0,0,1,0,3,11,9,2023-2024,bundesliga
tony jantschke,"DF,MF",1990,4,0,27,0,0,0,0,0,2,0,2023-2024,bundesliga
nuha jatta,FW,2006,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
fredrik jensen,"MF,FW",1997,22,18,1338,2,4,1,0,22,46,90,2023-2024,bundesliga
moritz jenz,DF,1999,22,21,1742,0,1,7,1,2,47,4,2023-2024,bundesliga
