nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
gleison bremer,DF,Juventus,30,30,2634,4,1,6,0,8,54,4,2022-2023,serie-a
dylan bronn,DF,Salernitana,24,19,1683,0,0,5,1,10,70,5,2022-2023,serie-a
marcelo brozović,MF,Inter,28,19,1770,3,5,8,0,29,114,35,2022-2023,serie-a
cristian buonaiuto,"MF,FW",Cremonese,29,7,980,1,0,3,0,35,39,89,2022-2023,serie-a
alessandro buongiorno,DF,Torino,34,30,2721,1,2,8,0,13,81,19,2022-2023,serie-a
leonardo buta,DF,Udinese,2,0,16,0,0,0,0,1,1,1,2022-2023,serie-a
arthur cabral,FW,Fiorentina,28,15,1432,8,1,4,0,11,21,86,2022-2023,serie-a
liberato cacace,DF,Empoli,12,5,587,0,0,1,0,21,41,31,2022-2023,serie-a
davide calabria,DF,Milan,25,21,1690,1,4,6,0,26,108,80,2022-2023,serie-a
mattia caldara,DF,Spezia,20,13,1253,0,0,6,0,5,35,4,2022-2023,serie-a
luca caldirola,DF,Monza,31,27,2353,2,0,6,0,12,63,13,2022-2023,serie-a
hakan çalhanoğlu,MF,Inter,33,28,2363,3,6,3,0,46,172,68,2022-2023,serie-a
mohamed camara,MF,Roma,15,8,696,0,0,3,0,13,30,14,2022-2023,serie-a
nicolò cambiaghi,"FW,MF",Empoli,28,12,1285,6,1,5,1,73,42,99,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
andrea cambiaso,DF,Bologna,32,25,2170,0,3,2,0,64,83,105,2022-2023,serie-a
matteo cancellieri,FW,Lazio,20,1,256,0,0,4,0,15,2,33,2022-2023,serie-a
antonio candreva,"MF,DF",Salernitana,35,32,2726,7,4,3,1,71,135,171,2022-2023,serie-a
gianluca caprari,"MF,FW",Monza,37,32,2441,5,2,7,0,100,92,188,2022-2023,serie-a
francesco caputo,FW,Sampdoria,15,13,1094,1,0,0,0,6,11,76,2022-2023,serie-a
francesco caputo,FW,Empoli,21,20,1708,5,4,1,0,16,21,128,2022-2023,serie-a
andrea carboni,DF,Monza,4,1,167,0,0,0,0,4,9,2,2022-2023,serie-a
franco carboni,"DF,FW",Monza,3,0,66,0,0,0,0,7,2,8,2022-2023,serie-a
valentin carboni,"MF,DF",Inter,5,0,25,0,0,0,0,2,1,3,2022-2023,serie-a
marco carnesecchi,GK,Cremonese,27,27,2430,0,1,1,0,0,0,0,2022-2023,serie-a
nicolò casale,DF,Lazio,29,27,2437,1,1,6,0,11,70,3,2022-2023,serie-a
tommaso cassandro,DF,Lecce,1,0,13,0,0,0,0,0,0,0,2022-2023,serie-a
michele castagnetti,MF,Cremonese,27,14,1412,0,1,2,0,14,120,10,2022-2023,serie-a
gaetano castrovilli,MF,Fiorentina,15,7,718,2,1,3,0,12,14,16,2022-2023,serie-a
danilo cataldi,MF,Lazio,29,26,1921,0,1,5,0,8,83,14,2022-2023,serie-a
pietro ceccaroni,DF,Lecce,2,0,43,0,0,0,0,0,0,1,2022-2023,serie-a
federico ceccherini,DF,Hellas Verona,22,18,1417,2,0,9,1,25,53,20,2022-2023,serie-a
assan ceesay,FW,Lecce,34,20,1812,6,0,2,0,21,16,111,2022-2023,serie-a
emil ceide,FW,Sassuolo,19,5,515,0,1,0,0,37,19,47,2022-2023,serie-a
zeki çelik,DF,Roma,24,16,1504,0,1,7,1,34,67,76,2022-2023,serie-a
michele cerofolini,GK,Fiorentina,5,5,450,0,0,0,0,0,0,0,2022-2023,serie-a
federico chiesa,"DF,MF",Juventus,21,6,852,2,5,2,0,46,34,88,2022-2023,serie-a
vlad chiricheș,DF,Cremonese,16,14,983,0,0,2,0,2,18,1,2022-2023,serie-a
daniel ciofani,FW,Cremonese,32,10,1060,8,0,1,0,5,10,36,2022-2023,serie-a
tio cipot,"FW,MF",Spezia,8,0,139,0,0,0,0,5,5,17,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
patrick ciurria,"DF,MF",Monza,36,31,2753,6,5,4,0,67,91,168,2022-2023,serie-a
nicolò cocetta,DF,Udinese,1,0,32,0,0,0,0,0,0,0,2022-2023,serie-a
omar colley,DF,Sampdoria,16,15,1384,1,0,5,0,3,33,2,2022-2023,serie-a
lorenzo colombo,FW,Lecce,33,18,1515,5,2,4,0,14,21,119,2022-2023,serie-a
andrea colpani,MF,Monza,27,10,948,4,1,1,0,31,51,69,2022-2023,serie-a
andrea consigli,GK,Sassuolo,35,35,3150,0,0,0,0,0,1,0,2022-2023,serie-a
andrea conti,DF,Sampdoria,1,0,23,0,0,0,0,0,1,2,2022-2023,serie-a
diego coppola,DF,Hellas Verona,19,11,1177,0,0,5,0,9,42,8,2022-2023,serie-a
alex cordaz,GK,Inter,1,0,26,0,0,0,0,0,0,0,2022-2023,serie-a
joaquín correa,FW,Inter,26,12,950,3,1,1,0,19,29,61,2022-2023,serie-a
alessandro cortinovis,MF,Hellas Verona,1,0,6,0,0,0,0,0,2,2,2022-2023,serie-a
lassana coulibaly,MF,Salernitana,35,34,2892,3,3,12,0,52,120,59,2022-2023,serie-a
alessio cragno,GK,Monza,1,1,90,0,0,0,0,0,0,0,2022-2023,serie-a
bryan cristante,"MF,DF",Roma,36,34,2938,1,1,8,1,16,142,27,2022-2023,serie-a
domen črnigoj,MF,Salernitana,7,4,296,0,0,1,0,2,3,9,2022-2023,serie-a
juan cuadrado,"DF,FW",Juventus,31,24,2078,1,3,6,1,48,92,125,2022-2023,serie-a
mickaël cuisance,MF,Sampdoria,12,9,618,0,0,1,0,11,23,31,2022-2023,serie-a
