nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
juan cruz,"FW,MF",Leganés,34,26,2257,5,4,2,0,59,66,131,2024-2025,laliga
pau cubarsí,DF,Barcelona,35,29,2618,0,3,3,0,26,191,6,2024-2025,laliga
cucho,FW,Betis,15,14,1139,5,1,0,0,27,34,82,2024-2025,laliga
arnaut danjuma,FW,Villarreal,3,3,200,2,0,1,0,4,1,17,2024-2025,laliga
arnaut danjuma,"FW,MF",Girona,25,15,1335,2,0,2,0,91,41,185,2024-2025,laliga
sergi darder,"MF,FW",Mallorca,38,34,2744,2,6,4,0,37,142,83,2024-2025,laliga
rodrigo de paul,MF,Atlético Madrid,34,23,2106,3,5,7,0,85,231,64,2024-2025,laliga
mouctar diakhaby,DF,Valencia,13,7,653,2,0,0,0,5,14,2,2024-2025,laliga
assane diao,FW,Betis,10,2,277,1,2,0,0,9,1,27,2024-2025,laliga
moussa diarra,DF,Alavés,26,20,1866,0,0,6,0,12,70,31,2024-2025,laliga
brahim díaz,"FW,MF",Real Madrid,31,16,1385,4,2,0,0,39,74,110,2024-2025,laliga
daniel díaz,MF,Real Sociedad,1,0,10,0,0,0,0,0,0,0,2024-2025,laliga
pedro díaz,MF,Rayo Vallecano,26,12,1211,3,0,2,0,27,62,49,2024-2025,laliga
diego,FW,Leganés,28,13,1195,3,0,2,0,9,16,49,2024-2025,laliga
stole dimitrievski,GK,Valencia,4,4,360,0,0,1,0,0,0,0,2024-2025,laliga
yan diomandé,"MF,FW",Leganés,10,6,545,2,1,1,0,37,16,64,2024-2025,laliga
álvaro djaló,FW,Athletic Club,17,7,659,1,0,2,0,22,13,60,2024-2025,laliga
djené,"DF,MF",Getafe,31,31,2548,0,0,10,1,18,74,21,2024-2025,laliga
marko dmitrović,GK,Leganés,32,32,2880,0,0,0,0,0,1,0,2024-2025,laliga
marc domenech,"FW,MF",Mallorca,10,3,303,0,0,0,0,1,4,21,2024-2025,laliga
carlos dominguez,DF,Celta Vigo,19,13,1181,0,0,1,0,15,66,4,2024-2025,laliga
israel domínguez,FW,Sevilla,1,0,18,0,0,0,0,0,0,0,2024-2025,laliga
sergi dominguez,DF,Barcelona,3,2,172,0,0,1,0,0,13,1,2024-2025,laliga
anastasios douvikas,FW,Celta Vigo,20,6,700,3,1,2,0,6,6,43,2024-2025,laliga
domingos duarte,DF,Getafe,22,21,1859,1,0,4,2,3,47,3,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
duk,"MF,FW",Leganés,10,1,179,0,0,1,0,10,3,21,2024-2025,laliga
pablo durán,"FW,MF",Celta Vigo,27,15,1394,4,4,3,0,24,30,124,2024-2025,laliga
hugo duro,FW,Valencia,31,25,2166,11,2,5,0,13,28,88,2024-2025,laliga
chidera ejuke,FW,Sevilla,25,9,966,2,1,0,0,75,38,101,2024-2025,laliga
aritz elustondo,DF,Real Sociedad,22,16,1457,0,0,2,1,17,51,4,2024-2025,laliga
adri embarba,"FW,MF",Rayo Vallecano,35,18,1607,1,1,4,0,47,45,114,2024-2025,laliga
endrick,FW,Real Madrid,22,3,363,1,0,1,0,12,8,32,2024-2025,laliga
alfonso espino,DF,Rayo Vallecano,16,9,833,0,1,4,0,10,39,29,2024-2025,laliga
dario essugo,MF,Las Palmas,27,25,1938,1,0,11,2,18,76,8,2024-2025,laliga
etienne eto'o,FW,Rayo Vallecano,2,0,40,0,0,0,0,0,0,1,2024-2025,laliga
karl etta,"MF,FW",Villarreal,4,0,37,1,0,0,0,0,0,0,2024-2025,laliga
edu expósito,MF,Espanyol,19,12,1045,0,2,3,0,23,64,41,2024-2025,laliga
abde ezzalzouli,"FW,MF",Betis,32,23,1984,2,2,2,0,117,68,215,2024-2025,laliga
ansu fati,FW,Barcelona,6,3,233,0,0,1,0,7,6,32,2024-2025,laliga
nabil fekir,MF,Betis,2,2,180,0,1,0,0,9,10,18,2024-2025,laliga
kiko femenía,DF,Villarreal,28,27,2227,0,1,7,0,52,112,44,2024-2025,laliga
aitor fernández,GK,Osasuna,1,1,90,0,0,0,0,0,0,0,2024-2025,laliga
