nombre,club_actual,altura,valor,temporada,liga
issiaka kamate,Inter U23,1.86,1000000.0,2023-2024,Serie-A
joaquín correa,Botafogo de Futebol e Regatas,1.88,6000000.0,2023-2024,Serie-A
lautaro martínez,Inter Milan,1.74,110000000.0,2023-2024,Serie-A
marcus thuram,Inter Milan,1.92,65000000.0,2023-2024,Serie-A
marko arnautovic,Red Star Belgrade,1.92,4000000.0,2023-2024,Serie-A
alexis sánchez,Udinese Calcio,1.69,2500000.0,2023-2024,Serie-A
amadou sarr,Inter U23,1.9,150000.0,2023-2024,Serie-A
mike maignan,AC Milan,1.91,38000000.0,2023-2024,Serie-A
marco sportiello,Atalanta BC,1.92,1500000.0,2023-2024,Serie-A
noah raveyre,Milan Futuro,,200000.0,2023-2024,Serie-A
lapo nava,US Cremonese,1.97,150000.0,2023-2024,Serie-A
antonio mirante,nan,1.93,100000.0,2023-2024,Serie-A
andrea bartoccioni,AC Renate,1.96,50000.0,2023-2024,Serie-A
lorenzo torriani,AC Milan,1.97,10000.0,2023-2024,Serie-A
fikayo tomori,AC Milan,1.85,40000000.0,2023-2024,Serie-A
malick thiaw,AC Milan,1.94,25000000.0,2023-2024,Serie-A
pierre kalulu,Juventus FC,1.82,20000000.0,2023-2024,Serie-A
matteo gabbia,AC Milan,1.85,8000000.0,2023-2024,Serie-A
jan-carlo simić,RSC Anderlecht,1.86,5000000.0,2023-2024,Serie-A
marco pellegrino,CA Boca Juniors,1.84,3500000.0,2023-2024,Serie-A
simon kjaer,nan,1.91,1500000.0,2023-2024,Serie-A
mattia caldara,Without Club,1.87,800000.0,2023-2024,Serie-A
clinton nsiala,Rangers FC,1.89,200000.0,2023-2024,Serie-A
theo hernández,Al-Hilal SFC,1.84,60000000.0,2023-2024,Serie-A
davide bartesaghi,AC Milan,1.93,1000000.0,2023-2024,Serie-A
davide calabria,Without Club,1.76,13000000.0,2023-2024,Serie-A
filippo terracciano,AC Milan,1.86,4500000.0,2023-2024,Serie-A
álex jiménez,AC Milan,1.77,4000000.0,2023-2024,Serie-A
alessandro florenzi,Without Club,1.73,2000000.0,2023-2024,Serie-A
ismaël bennacer,AC Milan,1.75,30000000.0,2023-2024,Serie-A
yacine adli,AC Milan,1.86,15000000.0,2023-2024,Serie-A
rade krunic,Red Star Belgrade,1.84,6000000.0,2023-2024,Serie-A
tijjani reijnders,Manchester City,1.85,30000000.0,2023-2024,Serie-A
ruben loftus-cheek,AC Milan,1.91,25000000.0,2023-2024,Serie-A
yunus musah,AC Milan,1.78,22000000.0,2023-2024,Serie-A
tommaso pobega,Bologna FC 1909,1.88,10000000.0,2023-2024,Serie-A
kevin zeroli,AC Monza,1.87,2000000.0,2023-2024,Serie-A
victor eletu,Without Club,1.76,400000.0,2023-2024,Serie-A
rafael leão,AC Milan,1.88,90000000.0,2023-2024,Serie-A
noah okafor,AC Milan,1.85,20000000.0,2023-2024,Serie-A
chaka traorè,Milan Futuro,1.75,1500000.0,2023-2024,Serie-A
diego sia,Milan Futuro,,,2023-2024,Serie-A
christian pulisic,AC Milan,1.77,40000000.0,2023-2024,Serie-A
samuel chukwueze,AC Milan,1.72,20000000.0,2023-2024,Serie-A
luka romero,CD Cruz Azul,1.69,5000000.0,2023-2024,Serie-A
francesco camarda,US Lecce,1.89,10000000.0,2023-2024,Serie-A
luka jović,Without Club,1.82,7000000.0,2023-2024,Serie-A
lorenzo colombo,AC Milan,1.83,6000000.0,2023-2024,Serie-A
olivier giroud,LOSC Lille,1.92,3000000.0,2023-2024,Serie-A
alex meret,SSC Napoli,1.9,12000000.0,2023-2024,Serie-A
pierluigi gollini,AS Roma,1.94,4000000.0,2023-2024,Serie-A
nikita contini,SSC Napoli,1.9,400000.0,2023-2024,Serie-A
hubert idasiak,LKS Lodz,1.88,150000.0,2023-2024,Serie-A
amir rrahmani,SSC Napoli,1.92,15000000.0,2023-2024,Serie-A
natan,Real Betis Balompié,1.88,12000000.0,2023-2024,Serie-A
leo østigård,Stade Rennais FC,1.83,8000000.0,2023-2024,Serie-A
juan jesus,SSC Napoli,1.85,2500000.0,2023-2024,Serie-A
luigi d'avino,Giugliano Calcio 1928,1.86,125000.0,2023-2024,Serie-A
mathías olivera,SSC Napoli,1.85,15000000.0,2023-2024,Serie-A
