nombre,club_actual,altura,valor,temporada,liga
piotr zieliński,Inter Milan,1.8,22000000.0,A,Serie
karim zedadka,FC Südtirol,1.84,250000.0,A,Serie
hamed junior traoré,AFC Bournemouth,1.77,17000000.0,A,Serie
gianluca gaetano,Cagliari Calcio,1.83,6000000.0,A,Serie
khvicha kvaratskhelia,Paris Saint-Germain,1.83,80000000.0,A,Serie
eljif elmas,RB Leipzig,1.84,20000000.0,A,Serie
hirving lozano,San Diego FC,1.75,15000000.0,A,Serie
alessio zerbin,SSC Napoli,1.82,4000000.0,A,Serie
jesper lindstrøm,SSC Napoli,1.82,22000000.0,A,Serie
matteo politano,SSC Napoli,1.71,13000000.0,A,Serie
cyril ngonge,SSC Napoli,1.8,12000000.0,A,Serie
giacomo raspadori,SSC Napoli,1.72,25000000.0,A,Serie
victor osimhen,SSC Napoli,1.86,100000000.0,A,Serie
giovanni simeone,SSC Napoli,1.8,10000000.0,A,Serie
wojciech szczesny,FC Barcelona,1.95,6000000.0,A,Serie
mattia perin,Juventus FC,1.88,3000000.0,A,Serie
giovanni daffara,US Avellino 1912,1.94,300000.0,A,Serie
carlo pinsoglio,Juventus FC,1.94,200000.0,A,Serie
giovanni garofani,Juventus Next Gen,1.88,100000.0,A,Serie
gian marco crespi,Spezia Calcio,1.89,100000.0,A,Serie
simone scaglia,Juventus Next Gen,1.96,25000.0,A,Serie
bremer,Juventus FC,1.88,60000000.0,A,Serie
federico gatti,Juventus FC,1.9,18000000.0,A,Serie
tiago djaló,Juventus FC,1.9,12000000.0,A,Serie
danilo,CR Flamengo,1.84,10000000.0,A,Serie
dean huijsen,Real Madrid,1.97,10000000.0,A,Serie
daniele rugani,Juventus FC,1.9,4000000.0,A,Serie
tarik muharemović,US Sassuolo,1.87,1200000.0,A,Serie
andrea cambiaso,Juventus FC,1.82,25000000.0,A,Serie
alex sandro,CR Flamengo,1.8,2000000.0,A,Serie
mattia de sciglio,Without Club,1.83,1000000.0,A,Serie
manuel locatelli,Juventus FC,1.85,28000000.0,A,Serie
adrien rabiot,Olympique Marseille,1.91,35000000.0,A,Serie
weston mckennie,Juventus FC,1.85,28000000.0,A,Serie
fabio miretti,Juventus FC,1.8,15000000.0,A,Serie
nicolò fagioli,ACF Fiorentina,1.78,15000000.0,A,Serie
carlos alcaraz,Everton FC,1.76,15000000.0,A,Serie
