nombre,club_actual,altura,valor,temporada,liga
nicolas jackson,Chelsea FC,1.87,30000000.0,2022-2023,LaLiga
gerard moreno,Villarreal CF,1.8,20000000.0,2022-2023,LaLiga
fer niño,Burgos CF,1.91,3000000.0,2022-2023,LaLiga
josé luis morales,Levante UD,1.8,3000000.0,2022-2023,LaLiga
jorge pascual,Villarreal CF,1.87,,2022-2023,LaLiga
giorgi mamardashvili,Liverpool FC,1.97,25000000.0,2022-2023,LaLiga
jaume doménech,Without Club,1.85,1000000.0,2022-2023,LaLiga
iago herrerín,Without Club,1.87,500000.0,2022-2023,LaLiga
emilio bernad,CD Teruel,1.84,300000.0,2022-2023,LaLiga
cristian rivero,Valencia CF,1.88,200000.0,2022-2023,LaLiga
charlie pérez,Real Unión Club,,25000.0,2022-2023,LaLiga
mouctar diakhaby,Valencia CF,1.92,6000000.0,2022-2023,LaLiga
cenk özkacar,Valencia CF,1.9,5000000.0,2022-2023,LaLiga
eray cömert,Valencia CF,1.83,3500000.0,2022-2023,LaLiga
gabriel paulista,Besiktas JK,1.85,2500000.0,2022-2023,LaLiga
cristhian mosquera,Valencia CF,1.91,1000000.0,2022-2023,LaLiga
rubén iranzo,Valencia Mestalla,1.82,200000.0,2022-2023,LaLiga
josé gayà,Valencia CF,1.72,30000000.0,2022-2023,LaLiga
jesús vázquez,Valencia CF,1.82,3000000.0,2022-2023,LaLiga
toni lato,RCD Mallorca,1.71,2500000.0,2022-2023,LaLiga
thierry correia,Valencia CF,1.76,8000000.0,2022-2023,LaLiga
dimitri foulquier,Valencia CF,1.83,2500000.0,2022-2023,LaLiga
hugo guillamón,Valencia CF,1.78,14000000.0,2022-2023,LaLiga
uros racic,Aris Thessaloniki,1.93,6500000.0,2022-2023,LaLiga
carlos soler,Paris Saint-Germain,1.8,25000000.0,2022-2023,LaLiga
yunus musah,AC Milan,1.78,18000000.0,2022-2023,LaLiga
nico gonzález,Manchester City,1.88,10000000.0,2022-2023,LaLiga
ilaix moriba,Celta de Vigo,1.85,4000000.0,2022-2023,LaLiga
javi guerra,Valencia CF,1.87,2000000.0,2022-2023,LaLiga
koba koindredi,FC Basel 1893,1.84,1000000.0,2022-2023,LaLiga
tiago ribeiro,CD Feirense,1.83,200000.0,2022-2023,LaLiga
yellu santiago,Without Club,1.92,100000.0,2022-2023,LaLiga
andré almeida,Valencia CF,1.76,20000000.0,2022-2023,LaLiga
justin kluivert,AFC Bournemouth,1.72,14000000.0,2022-2023,LaLiga
samuel lino,Atlético de Madrid,1.77,16000000.0,2022-2023,LaLiga
samu castillejo,Johor Darul Ta'zim,1.82,6000000.0,2022-2023,LaLiga
diego lópez,Valencia CF,1.72,1500000.0,2022-2023,LaLiga
fran pérez,Valencia CF,1.76,500000.0,2022-2023,LaLiga
manu vallejo,AD Ceuta FC,1.67,2400000.0,2022-2023,LaLiga
maxi gómez,Club Nacional,1.86,7000000.0,2022-2023,LaLiga
hugo duro,Valencia CF,1.77,4000000.0,2022-2023,LaLiga
edinson cavani,CA Boca Juniors,1.84,3000000.0,2022-2023,LaLiga
marcos andré,Real Valladolid CF,1.85,2500000.0,2022-2023,LaLiga
alberto marí,Valencia CF,1.83,800000.0,2022-2023,LaLiga
mario dominguez,Valencia Mestalla,1.75,50000.0,2022-2023,LaLiga
rui silva,Sporting CP,1.91,15000000.0,2022-2023,LaLiga
dani martín,CD Tenerife,1.87,1500000.0,2022-2023,LaLiga
claudio bravo,nan,1.84,1000000.0,2022-2023,LaLiga
fran vieites,Real Betis Balompié,1.96,200000.0,2022-2023,LaLiga
germán garcía,Betis Deportivo Balompié,,,2022-2023,LaLiga
luiz felipe,Rayo Vallecano,1.87,15000000.0,2022-2023,LaLiga
edgar gonzález,UD Almería,1.92,9000000.0,2022-2023,LaLiga
germán pezzella,CA River Plate,1.87,5000000.0,2022-2023,LaLiga
víctor ruiz,nan,1.84,1200000.0,2022-2023,LaLiga
félix garreta,Betis Deportivo Balompié,1.83,200000.0,2022-2023,LaLiga
ricardo visus,Widzew Lodz,1.92,150000.0,2022-2023,LaLiga
álex moreno,Aston Villa,1.79,15000000.0,2022-2023,LaLiga
abner,Olympique Lyon,1.81,7000000.0,2022-2023,LaLiga
