nombre,club_actual,altura,valor,temporada,liga
roberto firmino,Al-Ahli SFC,1.81,18000000.0,League,Premier
layton stewart,FC Thun,1.8,,League,Premier
hugo lloris,Los Angeles FC,1.88,3000000.0,League,Premier
fraser forster,Without Club,2.01,1500000.0,League,Premier
alfie whiteman,Without Club,1.88,500000.0,League,Premier
brandon austin,Tottenham Hotspur,1.88,300000.0,League,Premier
cristian romero,Tottenham Hotspur,1.85,60000000.0,League,Premier
eric dier,AS Monaco,1.91,18000000.0,League,Premier
davinson sánchez,Galatasaray,1.87,15000000.0,League,Premier
ben davies,Tottenham Hotspur,1.81,15000000.0,League,Premier
clément lenglet,Atlético de Madrid,1.86,10000000.0,League,Premier
japhet tanganga,Millwall FC,1.84,7000000.0,League,Premier
ryan sessegnon,Fulham FC,1.78,18000000.0,League,Premier
djed spence,Tottenham Hotspur,1.84,10000000.0,League,Premier
pedro porro,Tottenham Hotspur,1.73,40000000.0,League,Premier
emerson royal,AC Milan,1.83,20000000.0,League,Premier
matt doherty,Wolverhampton Wanderers,1.85,5000000.0,League,Premier
pierre-emile højbjerg,Olympique Marseille,1.85,45000000.0,League,Premier
rodrigo bentancur,Tottenham Hotspur,1.87,40000000.0,League,Premier
yves bissouma,Tottenham Hotspur,1.82,18000000.0,League,Premier
oliver skipp,Leicester City,1.75,15000000.0,League,Premier
harvey white,Stevenage FC,1.68,600000.0,League,Premier
matthew craig,Tottenham Hotspur U21,1.84,,League,Premier
george abbott,Tottenham Hotspur U21,1.75,,League,Premier
pape matar sarr,Tottenham Hotspur,1.84,15000000.0,League,Premier
dejan kulusevski,Tottenham Hotspur,1.86,50000000.0,League,Premier
alfie devine,Tottenham Hotspur,1.82,900000.0,League,Premier
heung-min son,Tottenham Hotspur,1.84,50000000.0,League,Premier
arnaut danjuma,Villarreal CF,1.78,25000000.0,League,Premier
bryan gil,Tottenham Hotspur,1.75,15000000.0,League,Premier
romaine mundle,Sunderland AFC,,300000.0,League,Premier
yago santiago,Elche CF,1.8,,League,Premier
ivan perišić,PSV Eindhoven,1.86,7000000.0,League,Premier
lucas moura,São Paulo Futebol Clube,1.72,6000000.0,League,Premier
harry kane,Bayern Munich,1.88,90000000.0,League,Premier
richarlison,Tottenham Hotspur,1.84,48000000.0,League,Premier
nick pope,Newcastle United,1.98,20000000.0,League,Premier
martin dúbravka,Newcastle United,1.91,1500000.0,League,Premier
loris karius,FC Schalke 04,1.91,1200000.0,League,Premier
