nombre,club_actual,altura,valor,temporada,liga
konstantinos tsimikas,Liverpool FC,1.79,18000000.0,2024-2025,Premier-League
andrew robertson,Liverpool FC,1.78,18000000.0,2024-2025,Premier-League
james norris,Shelbourne FC,1.72,150000.0,2024-2025,Premier-League
trent alexander-arnold,Real Madrid,1.8,75000000.0,2024-2025,Premier-League
conor bradley,Liverpool FC,1.81,30000000.0,2024-2025,Premier-League
isaac mabaya,Liverpool FC U21,,,2024-2025,Premier-League
ryan gravenberch,Liverpool FC,1.9,75000000.0,2024-2025,Premier-League
wataru endo,Liverpool FC,1.78,8000000.0,2024-2025,Premier-League
tyler morton,Liverpool FC,1.85,7000000.0,2024-2025,Premier-League
alexis mac allister,Liverpool FC,1.76,100000000.0,2024-2025,Premier-League
curtis jones,Liverpool FC,1.85,45000000.0,2024-2025,Premier-League
trey nyoni,Liverpool FC U21,1.8,4500000.0,2024-2025,Premier-League
james mcconnell,Liverpool FC U21,,2000000.0,2024-2025,Premier-League
dominik szoboszlai,Liverpool FC,1.87,80000000.0,2024-2025,Premier-League
harvey elliott,Liverpool FC,1.7,30000000.0,2024-2025,Premier-League
kieran morrison,Liverpool FC U21,1.8,,2024-2025,Premier-League
luis díaz,Liverpool FC,1.8,70000000.0,2024-2025,Premier-League
cody gakpo,Liverpool FC,1.93,70000000.0,2024-2025,Premier-League
trent kone-doherty,Liverpool FC U21,1.75,,2024-2025,Premier-League
rio ngumoha,Liverpool FC U18,1.7,,2024-2025,Premier-League
mohamed salah,Liverpool FC,1.75,50000000.0,2024-2025,Premier-League
federico chiesa,Liverpool FC,1.75,14000000.0,2024-2025,Premier-League
ranel young,Liverpool FC U21,,,2024-2025,Premier-League
darwin núñez,Liverpool FC,1.87,45000000.0,2024-2025,Premier-League
diogo jota,---,1.78,40000000.0,2024-2025,Premier-League
jayden danns,Liverpool FC U21,1.83,800000.0,2024-2025,Premier-League
andré onana,Manchester United,1.9,25000000.0,2024-2025,Premier-League
altay bayındır,Manchester United,1.98,8000000.0,2024-2025,Premier-League
tom heaton,Manchester United,1.88,200000.0,2024-2025,Premier-League
dermot mee,Manchester United U21,1.83,,2024-2025,Premier-League
hubert graczyk,Without Club,1.87,,2024-2025,Premier-League
elyh harrison,Shrewsbury Town,,,2024-2025,Premier-League
will murdock,Manchester United U21,,,2024-2025,Premier-League
leny yoro,Manchester United,1.9,55000000.0,2024-2025,Premier-League
lisandro martínez,Manchester United,1.75,40000000.0,2024-2025,Premier-League
matthijs de ligt,Manchester United,1.89,38000000.0,2024-2025,Premier-League
harry maguire,Manchester United,1.94,13000000.0,2024-2025,Premier-League
victor lindelöf,Without Club,1.87,8000000.0,2024-2025,Premier-League
ayden heaven,Manchester United,1.89,5000000.0,2024-2025,Premier-League
tyler fredricson,Manchester United,,3000000.0,2024-2025,Premier-League
jonny evans,nan,1.88,1000000.0,2024-2025,Premier-League
godwill kukonki,Manchester United U18,1.96,,2024-2025,Premier-League
patrick dorgu,Manchester United,1.85,25000000.0,2024-2025,Premier-League
luke shaw,Manchester United,1.78,12000000.0,2024-2025,Premier-League
tyrell malacia,Manchester United,1.69,8000000.0,2024-2025,Premier-League
harry amass,Manchester United,1.81,5000000.0,2024-2025,Premier-League
diogo dalot,Manchester United,1.83,30000000.0,2024-2025,Premier-League
noussair mazraoui,Manchester United,1.83,25000000.0,2024-2025,Premier-League
habeeb ogunneye,Newport County,,,2024-2025,Premier-League
jaydan kamason,Manchester United U21,,,2024-2025,Premier-League
manuel ugarte,Manchester United,1.82,45000000.0,2024-2025,Premier-League
casemiro,Manchester United,1.85,10000000.0,2024-2025,Premier-League
toby collyer,Manchester United,1.8,5000000.0,2024-2025,Premier-League
sékou koné,Manchester United U21,1.76,,2024-2025,Premier-League
scott mctominay,SSC Napoli,1.91,50000000.0,2024-2025,Premier-League
kobbie mainoo,Manchester United,1.8,50000000.0,2024-2025,Premier-League
christian eriksen,Without Club,1.82,4000000.0,2024-2025,Premier-League
daniel gore,Rotherham United,,800000.0,2024-2025,Premier-League
jack moorhouse,Manchester United U21,1.84,,2024-2025,Premier-League
jayce fitzgerald,Manchester United U21,,,2024-2025,Premier-League
bruno fernandes,Manchester United,1.79,50000000.0,2024-2025,Premier-League
alejandro garnacho,Manchester United,1.8,45000000.0,2024-2025,Premier-League
mason mount,Manchester United,1.81,28000000.0,2024-2025,Premier-League
jack fletcher,Manchester United U21,,,2024-2025,Premier-League
marcus rashford,Manchester United,1.85,50000000.0,2024-2025,Premier-League
jadon sancho,Manchester United,1.8,28000000.0,2024-2025,Premier-League
james scanlon,Manchester United U21,1.8,,2024-2025,Premier-League
amad diallo,Manchester United,1.73,45000000.0,2024-2025,Premier-League
antony,Manchester United,1.72,35000000.0,2024-2025,Premier-League
facundo pellistri,Panathinaikos FC,1.75,8000000.0,2024-2025,Premier-League
bendito mantato,Manchester United U18,1.8,,2024-2025,Premier-League
rasmus højlund,Manchester United,1.91,35000000.0,2024-2025,Premier-League
joshua zirkzee,Manchester United,1.93,30000000.0,2024-2025,Premier-League
chido obi,Manchester United,1.88,5000000.0,2024-2025,Premier-League
ethan wheatley,Manchester United,1.87,,2024-2025,Premier-League
guglielmo vicario,Tottenham Hotspur,1.94,32000000.0,2024-2025,Premier-League
antonín kinský,Tottenham Hotspur,1.9,15000000.0,2024-2025,Premier-League
fraser forster,Without Club,2.01,1000000.0,2024-2025,Premier-League
brandon austin,Tottenham Hotspur,1.88,600000.0,2024-2025,Premier-League
alfie whiteman,Without Club,1.88,500000.0,2024-2025,Premier-League
cristian romero,Tottenham Hotspur,1.85,50000000.0,2024-2025,Premier-League
micky van de ven,Tottenham Hotspur,1.93,50000000.0,2024-2025,Premier-League
kevin danso,Tottenham Hotspur,1.9,25000000.0,2024-2025,Premier-League
radu drăgușin,Tottenham Hotspur,1.91,25000000.0,2024-2025,Premier-League
ben davies,Tottenham Hotspur,1.81,6000000.0,2024-2025,Premier-League
alfie dorrington,Aberdeen FC,,700000.0,2024-2025,Premier-League
dante cassanova,Tottenham Hotspur U21,,,2024-2025,Premier-League
maeson king,Tottenham Hotspur U21,,,2024-2025,Premier-League
malachi hardy,Tottenham Hotspur U18,1.9,,2024-2025,Premier-League
destiny udogie,Tottenham Hotspur,1.88,40000000.0,2024-2025,Premier-League
