nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
gaetano castrovilli,1,2,0,12.5,3,2,4,0,4,2023-2024,serie-a
danilo cataldi,7,16,1,44.4,24,12,15,7,8,2023-2024,serie-a
emil ceide,1,1,0,100.0,2,2,6,1,5,2023-2024,serie-a
zeki çelik,10,10,3,56.0,23,16,12,5,7,2023-2024,serie-a
fabien centonze,10,4,0,50.0,14,8,14,2,12,2023-2024,serie-a
michele cerofolini,0,0,0,,0,0,0,0,0,2023-2024,serie-a
alberto cerri,1,1,1,40.0,3,3,3,1,2,2023-2024,serie-a
leonardo cerri,0,0,0,,0,0,0,0,0,2023-2024,serie-a
charlys,0,0,0,,0,0,0,0,0,2023-2024,serie-a
walid cheddira,1,8,3,50.0,12,7,6,1,5,2023-2024,serie-a
federico chiesa,7,6,7,23.1,20,10,17,1,16,2023-2024,serie-a
oliver christensen,0,0,0,,0,0,0,0,0,2023-2024,serie-a
samuel chukwueze,11,5,2,52.9,18,7,3,1,2,2023-2024,serie-a
alphadjo cissè,0,0,0,,0,0,0,0,0,2023-2024,serie-a
giorgio cittadini,1,0,0,100.0,1,1,1,1,0,2023-2024,serie-a
giorgio cittadini,4,1,0,100.0,5,4,1,0,1,2023-2024,serie-a
patrick ciurria,13,13,4,61.9,30,18,20,5,15,2023-2024,serie-a
lorenzo colombo,3,9,5,57.1,17,12,18,5,13,2023-2024,serie-a
andrea colpani,6,13,6,55.0,25,15,11,4,7,2023-2024,serie-a
pietro comuzzo,1,0,0,100.0,1,1,1,0,1,2023-2024,serie-a
andrea consigli,0,0,0,,0,0,1,0,1,2023-2024,serie-a
nikita contini baranovsky,0,0,0,,0,0,0,0,0,2023-2024,serie-a
diego coppola,25,9,2,60.6,36,22,26,9,17,2023-2024,serie-a
tommaso corazza,9,1,0,44.4,10,4,2,0,2,2023-2024,serie-a
jeppe corfitzen,0,1,0,100.0,1,0,0,0,0,2023-2024,serie-a
