nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
umut tohumcu,4,5,1,33.3,10,5,4,0,4,2022-2023,bundesliga
tiago tomás,2,4,4,61.5,10,4,9,2,7,2022-2023,bundesliga
almamy touré,7,5,1,55.6,13,7,9,2,7,2022-2023,bundesliga
lucas tousart,35,28,10,45.0,73,38,42,6,36,2022-2023,bundesliga
kevin trapp,1,0,0,0.0,1,1,2,0,2,2022-2023,bundesliga
christopher trimmel,16,12,3,64.5,31,16,14,1,13,2022-2023,bundesliga
tuta,27,19,7,57.9,53,35,47,14,33,2022-2023,bundesliga
sven ulreich,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
lauren ulrich,0,0,1,,1,1,0,0,0,2022-2023,bundesliga
dayot upamecano,43,22,0,62.2,65,37,26,6,20,2022-2023,bundesliga
filip uremović,29,8,1,63.6,38,23,18,13,5,2022-2023,bundesliga
jere uronen,6,6,2,60.0,14,10,5,2,3,2022-2023,bundesliga
mark uth,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
josha vagnoman,12,11,3,55.6,26,15,20,2,18,2022-2023,bundesliga
ruben vargas,6,7,2,45.5,15,7,8,2,6,2022-2023,bundesliga
renato veiga,4,3,2,77.8,9,6,20,6,14,2022-2023,bundesliga
miloš veljković,17,13,0,62.1,30,19,32,16,16,2022-2023,bundesliga
micky van de ven,26,18,1,71.8,45,30,42,24,18,2022-2023,bundesliga
gabriel vidovic,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kevin vogt,10,5,0,40.9,15,10,18,11,7,2022-2023,bundesliga
aster vranckx,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
robert wagner,0,0,0,,0,0,2,0,2,2022-2023,bundesliga
luca waldschmidt,2,1,2,20.0,5,2,6,0,6,2022-2023,bundesliga
paul wanner,1,2,0,100.0,3,1,0,0,0,2022-2023,bundesliga
julian weigl,21,21,1,56.1,43,16,23,2,21,2022-2023,bundesliga
nelson weiper,0,0,2,33.3,2,0,2,0,2,2022-2023,bundesliga
mitchell weiser,38,24,9,50.7,71,43,50,7,43,2022-2023,bundesliga
noah weißhaupt,3,7,1,28.6,11,6,4,0,4,2022-2023,bundesliga
marcel wenig,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
timo werner,4,3,3,33.3,10,5,12,0,12,2022-2023,bundesliga
silvan widmer,15,10,1,51.3,26,17,22,8,14,2022-2023,bundesliga
patrick wimmer,18,11,10,31.6,39,26,27,2,25,2022-2023,bundesliga
jonas wind,2,7,5,50.0,14,6,14,4,10,2022-2023,bundesliga
frederik winther,1,1,0,0.0,2,2,1,1,0,2022-2023,bundesliga
florian wirtz,9,7,2,50.0,18,10,15,1,14,2022-2023,bundesliga
hannes wolf,4,5,2,38.5,11,8,3,0,3,2022-2023,bundesliga
marius wolf,9,12,4,55.2,25,18,40,10,30,2022-2023,bundesliga
jeong woo-yeong,4,2,1,40.0,7,3,7,1,6,2022-2023,bundesliga
kelvin yeboah,2,4,0,40.0,6,4,7,0,7,2022-2023,bundesliga
maya yoshida,19,13,2,62.1,34,22,40,29,11,2022-2023,bundesliga
dan-axel zagadou,10,4,0,35.7,14,9,19,16,3,2022-2023,bundesliga
rodrigo zalazar,5,9,2,37.5,16,8,16,1,15,2022-2023,bundesliga
aaron zehnter,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
robin zentner,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
michael zetterer,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
simon zoller,2,8,1,33.3,11,4,14,1,13,2022-2023,bundesliga
