nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
diego rico,17,11,7,44.4,35,21,18,5,13,2022-2023,laliga
rodrigo riquelme,8,8,4,25.7,20,8,16,0,16,2022-2023,laliga
sergi roberto,12,6,4,38.9,22,15,15,7,8,2022-2023,laliga
lucas robertone,20,21,9,43.8,50,28,45,7,38,2022-2023,laliga
joel roca,2,0,0,40.0,2,2,1,1,0,2022-2023,laliga
enzo roco,23,10,0,62.5,33,13,22,15,7,2022-2023,laliga
rodri,5,9,2,47.1,16,11,10,0,10,2022-2023,laliga
álvaro rodríguez,1,0,1,100.0,2,1,0,0,0,2022-2023,laliga
ángel rodríguez,0,1,0,0.0,1,1,3,0,3,2022-2023,laliga
óscar rodríguez arnaiz,12,15,5,46.4,32,25,16,2,14,2022-2023,laliga
dani rodríguez,18,22,2,45.7,42,23,31,8,23,2022-2023,laliga
guido rodríguez,59,50,6,53.5,115,75,58,14,44,2022-2023,laliga
miguel rodríguez,4,3,0,36.4,7,5,6,0,6,2022-2023,laliga
rodrygo,3,7,7,17.4,17,10,23,0,23,2022-2023,laliga
leo román,0,0,0,,0,0,0,0,0,2022-2023,laliga
iván romero,0,0,0,,0,0,0,0,0,2022-2023,laliga
oriol romeu,36,26,8,51.0,70,38,48,10,38,2022-2023,laliga
rubén,18,9,3,69.0,30,15,14,4,10,2022-2023,laliga
antonio rüdiger,12,5,1,60.9,18,16,23,13,10,2022-2023,laliga
aitor ruibal,35,9,3,53.4,47,29,17,2,15,2022-2023,laliga
víctor ruiz,3,2,0,100.0,5,3,10,7,3,2022-2023,laliga
gerónimo rulli,0,0,0,,0,0,1,0,1,2022-2023,laliga
franco russo,2,0,0,0.0,2,1,5,0,5,2022-2023,laliga
youssouf sabaly,29,14,2,66.7,45,23,35,8,27,2022-2023,laliga
umar sadiq,0,0,0,0.0,0,0,2,0,2,2022-2023,laliga
umar sadiq,0,0,1,0.0,1,1,2,0,2,2022-2023,laliga
samuel sáiz,0,2,0,50.0,2,2,3,0,3,2022-2023,laliga
kike salas,1,0,0,,1,1,4,3,1,2022-2023,laliga
salvi,5,5,3,25.0,13,8,0,0,0,2022-2023,laliga
fede san emeterio,23,16,2,47.8,41,22,34,14,20,2022-2023,laliga
oihan sancet,2,19,6,29.7,27,16,10,0,10,2022-2023,laliga
antonio sánchez,13,4,2,29.4,19,8,18,0,18,2022-2023,laliga
iván sánchez,8,8,4,37.0,20,14,14,1,13,2022-2023,laliga
javi sánchez,27,15,1,65.4,43,26,32,22,10,2022-2023,laliga
manu sánchez,35,9,7,52.4,51,35,33,5,28,2022-2023,laliga
esteban saveljich,0,0,0,,0,0,0,0,0,2022-2023,laliga
