nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
simone bastoni,Spezia,23,19,5,45.5,47,24,8,20,5,15,14,0,2022-2023,serie-a
brian bayeye,Torino,3,0,0,100.0,3,0,1,1,1,0,2,0,2022-2023,serie-a
rodrigo becão,Udinese,50,17,3,75.5,70,36,26,44,24,20,68,2,2022-2023,serie-a
julius beck,Spezia,1,1,0,,2,1,0,0,0,0,0,0,2022-2023,serie-a
raoul bellanova,Inter,11,2,1,64.3,14,6,4,6,1,5,14,0,2022-2023,serie-a
andrea belotti,Roma,3,5,4,45.5,12,5,3,11,1,10,5,0,2022-2023,serie-a
marco benassi,Fiorentina,2,0,1,75.0,3,3,1,0,0,0,1,0,2022-2023,serie-a
marco benassi,Cremonese,9,11,6,62.5,26,15,12,13,1,12,19,0,2022-2023,serie-a
ismaël bennacer,Milan,26,31,2,58.8,59,33,26,25,7,18,16,1,2022-2023,serie-a
domenico berardi,Sassuolo,8,10,5,22.5,23,14,19,13,0,13,18,0,2022-2023,serie-a
bartosz bereszyński,Sampdoria,15,11,2,65.4,28,18,21,18,4,14,25,0,2022-2023,serie-a
bartosz bereszyński,Napoli,1,1,1,100.0,3,2,3,4,0,4,3,0,2022-2023,serie-a
marco bertini,Lazio,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
beto,Udinese,0,9,7,23.5,16,9,6,18,3,15,30,0,2022-2023,serie-a
matteo bianchetti,Cremonese,21,9,2,62.5,32,19,20,31,17,14,111,0,2022-2023,serie-a
alessandro bianco,Fiorentina,2,3,0,66.7,5,2,0,1,0,1,0,0,2022-2023,serie-a
jaka bijol,Udinese,32,7,0,59.3,39,23,29,41,25,16,165,0,2022-2023,serie-a
cristiano biraghi,Fiorentina,29,29,7,49.2,65,38,14,32,7,25,42,1,2022-2023,serie-a
samuele birindelli,Monza,21,10,4,62.1,35,19,16,28,8,20,30,0,2022-2023,serie-a
kristijan bistrović,Lecce,3,0,0,0.0,3,1,0,3,0,3,4,0,2022-2023,serie-a
alexis blin,Lecce,27,33,9,52.1,69,39,34,55,15,40,74,0,2022-2023,serie-a
jeremie boga,Atalanta,3,2,4,40.0,9,5,1,6,0,6,1,0,2022-2023,serie-a
emil bohinen,Salernitana,15,8,2,52.2,25,13,17,25,7,18,21,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
giacomo bonaventura,Fiorentina,14,15,6,64.9,35,23,16,14,0,14,5,1,2022-2023,serie-a
federico bonazzoli,Salernitana,0,3,2,0.0,5,3,3,9,1,8,0,0,2022-2023,serie-a
warren bondo,Monza,1,0,0,,1,0,0,1,0,1,0,0,2022-2023,serie-a
kevin bonifazi,Bologna,7,6,0,50.0,13,8,12,11,8,3,39,0,2022-2023,serie-a
leonardo bonucci,Juventus,1,4,0,50.0,5,4,13,12,8,4,29,0,2022-2023,serie-a
erik botheim,Salernitana,3,4,4,46.2,11,7,0,3,0,3,4,0,2022-2023,serie-a
mehdi bourabia,Spezia,13,22,6,46.3,41,20,32,39,12,27,57,0,2022-2023,serie-a
edoardo bove,Roma,12,15,8,41.0,35,18,10,15,1,14,11,0,2022-2023,serie-a
jayden braaf,Hellas Verona,2,3,0,,5,3,2,1,0,1,1,0,2022-2023,serie-a
domagoj bradarić,Salernitana,14,8,4,43.8,26,19,21,20,5,15,44,0,2022-2023,serie-a
josip brekalo,Fiorentina,0,1,1,25.0,2,1,1,1,0,1,1,0,2022-2023,serie-a
gleison bremer,Juventus,23,5,1,73.1,29,20,42,44,22,22,120,2,2022-2023,serie-a
dylan bronn,Salernitana,17,16,1,66.7,34,18,20,32,20,12,58,1,2022-2023,serie-a
marcelo brozović,Inter,13,22,2,29.7,37,22,22,23,7,16,28,0,2022-2023,serie-a
cristian buonaiuto,Cremonese,8,11,6,46.2,25,16,14,11,0,11,7,0,2022-2023,serie-a
alessandro buongiorno,Torino,22,16,0,51.6,38,25,60,38,19,19,105,2,2022-2023,serie-a
leonardo buta,Udinese,0,1,0,,1,1,0,0,0,0,0,0,2022-2023,serie-a
arthur cabral,Fiorentina,1,4,4,50.0,9,2,1,10,1,9,12,0,2022-2023,serie-a
liberato cacace,Empoli,12,8,5,60.0,25,10,4,15,7,8,16,0,2022-2023,serie-a
davide calabria,Milan,31,32,8,62.3,71,44,25,22,7,15,34,0,2022-2023,serie-a
mattia caldara,Spezia,10,11,2,45.0,23,14,17,23,16,7,88,2,2022-2023,serie-a
luca caldirola,Monza,19,4,3,50.0,26,14,25,32,18,14,66,1,2022-2023,serie-a
hakan çalhanoğlu,Inter,17,26,5,37.2,48,27,25,30,5,25,13,1,2022-2023,serie-a
mohamed camara,Roma,3,7,3,33.3,13,10,10,5,1,4,8,0,2022-2023,serie-a
nicolò cambiaghi,Empoli,11,12,7,29.6,30,22,9,19,1,18,8,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
andrea cambiaso,Bologna,34,20,3,43.1,57,34,26,26,2,24,33,1,2022-2023,serie-a
matteo cancellieri,Lazio,5,3,2,55.6,10,4,1,4,0,4,2,0,2022-2023,serie-a
antonio candreva,Salernitana,13,2,2,28.9,17,7,17,7,3,4,32,0,2022-2023,serie-a
gianluca caprari,Monza,3,11,2,30.8,16,6,8,22,1,21,3,0,2022-2023,serie-a
francesco caputo,Sampdoria,0,0,3,0.0,3,1,1,0,0,0,3,0,2022-2023,serie-a
francesco caputo,Empoli,0,1,1,0.0,2,2,2,7,2,5,8,0,2022-2023,serie-a
andrea carboni,Monza,2,0,1,40.0,3,2,3,3,2,1,2,1,2022-2023,serie-a
franco carboni,Monza,1,0,0,0.0,1,1,1,3,0,3,0,0,2022-2023,serie-a
valentin carboni,Inter,0,1,0,33.3,1,1,0,1,0,1,0,0,2022-2023,serie-a
marco carnesecchi,Cremonese,1,0,0,50.0,1,1,0,0,0,0,11,2,2022-2023,serie-a
nicolò casale,Lazio,28,14,0,64.7,42,20,17,25,17,8,73,1,2022-2023,serie-a
tommaso cassandro,Lecce,0,1,0,,1,1,0,1,1,0,0,0,2022-2023,serie-a
michele castagnetti,Cremonese,20,24,2,33.3,46,21,15,14,4,10,22,0,2022-2023,serie-a
gaetano castrovilli,Fiorentina,1,7,2,22.2,10,8,8,5,1,4,5,0,2022-2023,serie-a
danilo cataldi,Lazio,7,15,3,35.0,25,16,24,23,9,14,33,0,2022-2023,serie-a
pietro ceccaroni,Lecce,0,0,0,,0,0,3,1,1,0,2,0,2022-2023,serie-a
federico ceccherini,Hellas Verona,15,9,1,56.5,25,19,19,17,10,7,55,0,2022-2023,serie-a
assan ceesay,Lecce,7,8,8,52.9,23,18,3,15,2,13,24,0,2022-2023,serie-a
emil ceide,Sassuolo,5,0,0,60.0,5,2,1,3,1,2,0,0,2022-2023,serie-a
zeki çelik,Roma,19,21,2,58.5,42,21,14,33,6,27,36,2,2022-2023,serie-a
michele cerofolini,Fiorentina,0,0,0,,0,0,1,0,0,0,2,0,2022-2023,serie-a
federico chiesa,Juventus,6,6,10,35.7,22,11,0,13,1,12,1,0,2022-2023,serie-a
vlad chiricheș,Cremonese,27,7,1,66.7,35,20,22,36,23,13,44,0,2022-2023,serie-a
daniel ciofani,Cremonese,1,2,3,57.1,6,3,2,7,1,6,10,0,2022-2023,serie-a
tio cipot,Spezia,6,3,3,75.0,12,7,0,0,0,0,2,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
patrick ciurria,Monza,20,10,1,51.5,31,18,7,24,2,22,32,0,2022-2023,serie-a
nicolò cocetta,Udinese,0,0,0,0.0,0,0,1,1,1,0,1,0,2022-2023,serie-a
omar colley,Sampdoria,10,7,0,75.0,17,10,22,9,5,4,69,1,2022-2023,serie-a
lorenzo colombo,Lecce,1,9,7,42.9,17,9,2,22,0,22,7,0,2022-2023,serie-a
andrea colpani,Monza,6,5,3,66.7,14,9,3,14,2,12,6,0,2022-2023,serie-a
andrea consigli,Sassuolo,1,0,0,0.0,1,0,0,0,0,0,13,3,2022-2023,serie-a
andrea conti,Sampdoria,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
diego coppola,Hellas Verona,15,10,0,45.8,25,17,14,20,6,14,38,0,2022-2023,serie-a
alex cordaz,Inter,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
joaquín correa,Inter,3,6,3,26.7,12,7,3,4,1,3,0,0,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,1,0,0,,1,0,0,1,0,1,0,0,2022-2023,serie-a
lassana coulibaly,Salernitana,42,35,7,41.1,84,50,25,35,7,28,33,2,2022-2023,serie-a
alessio cragno,Monza,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,serie-a
bryan cristante,Roma,55,49,9,61.1,113,62,18,39,10,29,53,0,2022-2023,serie-a
domen črnigoj,Salernitana,0,7,1,50.0,8,3,9,9,1,8,6,0,2022-2023,serie-a
juan cuadrado,Juventus,34,13,3,41.5,50,34,24,15,2,13,32,0,2022-2023,serie-a
mickaël cuisance,Sampdoria,7,5,1,21.7,13,10,5,10,0,10,4,0,2022-2023,serie-a
marco d'alessandro,Monza,3,1,0,40.0,4,4,1,2,0,2,3,0,2022-2023,serie-a
danilo d'ambrosio,Inter,17,7,1,55.6,25,17,10,12,4,8,17,0,2022-2023,serie-a
luca d'andrea,Sassuolo,2,1,1,25.0,4,0,1,2,0,2,1,0,2022-2023,serie-a
flavius daniliuc,Salernitana,37,17,3,55.3,57,29,29,30,13,17,76,0,2022-2023,serie-a
danilo,Juventus,61,23,8,71.2,92,62,47,39,20,19,114,1,2022-2023,serie-a
matteo darmian,Inter,29,15,12,66.0,56,30,21,33,5,28,36,0,2022-2023,serie-a
juan david cabal,Hellas Verona,7,3,0,58.3,10,6,13,8,5,3,12,0,2022-2023,serie-a
paweł dawidowicz,Hellas Verona,28,17,3,71.0,48,31,23,14,9,5,71,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
charles de ketelaere,Milan,7,14,5,43.3,26,12,4,14,2,12,9,0,2022-2023,serie-a
manuel de luca,Sampdoria,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
tommaso de nipoti,Atalanta,0,1,0,,1,0,0,0,0,0,0,0,2022-2023,serie-a
mattia de sciglio,Juventus,8,3,3,64.3,14,7,4,9,3,6,20,0,2022-2023,serie-a
lorenzo de silvestri,Bologna,2,0,1,42.9,3,2,3,6,5,1,20,0,2022-2023,serie-a
koni de winter,Empoli,11,3,0,38.5,14,9,6,14,12,2,65,0,2022-2023,serie-a
grégoire defrel,Sassuolo,5,2,2,30.8,9,7,2,11,0,11,5,0,2022-2023,serie-a
duccio degl'innocenti,Empoli,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,serie-a
merih demiral,Atalanta,30,11,0,72.2,41,29,24,24,7,17,57,1,2022-2023,serie-a
diego demme,Napoli,1,0,0,0.0,1,0,0,2,0,2,1,0,2022-2023,serie-a
fabio depaoli,Hellas Verona,25,16,7,56.8,48,28,18,32,6,26,33,3,2022-2023,serie-a
fabio depaoli,Sampdoria,2,3,0,75.0,5,3,1,1,0,1,4,0,2022-2023,serie-a
kastriot dermaku,Lecce,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
cyriel dessers,Cremonese,4,4,3,33.3,11,4,3,14,2,12,5,0,2022-2023,serie-a
sergiño dest,Milan,3,5,4,75.0,12,6,4,1,0,1,2,0,2022-2023,serie-a
mattia destro,Empoli,0,1,0,,1,1,1,2,0,2,5,0,2022-2023,serie-a
gerard deulofeu,Udinese,5,1,2,33.3,8,5,2,8,1,7,1,0,2022-2023,serie-a
samuel di carmine,Cremonese,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
federico di francesco,Lecce,7,11,10,47.4,28,16,8,16,0,16,14,0,2022-2023,serie-a
michele di gregorio,Monza,0,0,0,0.0,0,0,4,1,0,1,18,3,2022-2023,serie-a
giovanni di lorenzo,Napoli,33,19,8,51.0,60,29,30,30,9,21,60,0,2022-2023,serie-a
ángel di maría,Juventus,3,5,2,15.8,10,5,7,15,0,15,0,0,2022-2023,serie-a
boulaye dia,Salernitana,3,6,3,28.6,12,5,7,10,0,10,27,1,2022-2023,serie-a
brahim díaz,Milan,5,22,5,33.3,32,15,7,11,0,11,6,0,2022-2023,serie-a
federico dimarco,Inter,6,18,7,47.4,31,25,18,15,4,11,20,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
koffi djidji,Torino,32,17,1,56.3,50,25,34,29,14,15,72,0,2022-2023,serie-a
berat djimsiti,Atalanta,21,13,0,68.0,34,19,36,17,7,10,74,1,2022-2023,serie-a
dodô,Fiorentina,20,14,6,47.8,40,22,25,26,2,24,37,0,2022-2023,serie-a
josh doig,Hellas Verona,6,7,6,37.5,19,8,11,25,6,19,13,1,2022-2023,serie-a
nicolás domínguez,Bologna,34,33,12,51.3,79,49,21,29,3,26,29,1,2022-2023,serie-a
giulio donati,Monza,1,1,2,50.0,4,1,4,3,1,2,11,0,2022-2023,serie-a
bartłomiej drągowski,Spezia,1,0,0,20.0,1,0,1,0,0,0,15,3,2022-2023,serie-a
ondrej duda,Hellas Verona,7,12,3,56.3,22,14,13,11,0,11,8,0,2022-2023,serie-a
denzel dumfries,Inter,17,13,5,64.7,35,18,12,33,9,24,26,0,2022-2023,serie-a
alfred duncan,Fiorentina,0,17,1,47.6,18,10,8,9,0,9,6,0,2022-2023,serie-a
paulo dybala,Roma,1,8,5,30.8,14,4,8,12,1,11,4,0,2022-2023,serie-a
edin džeko,Inter,0,3,0,0.0,3,2,3,15,1,14,25,0,2022-2023,serie-a
festy ebosele,Udinese,8,7,0,40.0,15,10,2,5,0,5,5,0,2022-2023,serie-a
enzo ebosse,Udinese,11,4,0,69.2,15,9,11,27,6,21,29,0,2022-2023,serie-a
tyronne ebuehi,Empoli,11,7,4,69.2,22,14,12,23,12,11,79,1,2022-2023,serie-a
éderson,Atalanta,18,42,7,43.9,67,34,36,56,7,49,31,0,2022-2023,serie-a
kingsley ehizibue,Udinese,28,13,6,64.4,47,31,10,21,3,18,42,1,2022-2023,serie-a
albin ekdal,Spezia,14,20,3,42.2,37,20,26,24,2,22,36,0,2022-2023,serie-a
emmanuel ekong,Empoli,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
mikael ellertsson,Spezia,1,3,0,0.0,4,2,2,2,1,1,0,0,2022-2023,serie-a
elif elmas,Napoli,8,12,4,47.8,24,13,11,18,2,16,5,0,2022-2023,serie-a
martin erlic,Sassuolo,18,8,1,43.5,27,16,31,36,23,13,120,1,2022-2023,serie-a
gonzalo escalante,Cremonese,8,8,0,76.9,16,8,10,7,1,6,4,0,2022-2023,serie-a
salvatore esposito,Spezia,8,5,2,23.8,15,12,11,9,1,8,18,0,2022-2023,serie-a
