"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Serie A","Italy",2023,"US Lecce","98","Alexandru Borbei","Goalkeeper",2003-06-27,21,"Romania","US Lecce","1.91","right","2022-07-01","Lecce Primavera",NA,150000,"https://www.transfermarkt.com/alexandru-borbei/profil/spieler/667640","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","40","Jasper Samooja","Goalkeeper",2003-07-21,20,"Finland","US Lecce","1.93","right","2022-07-01","FC Honka II",NA,75000,"https://www.transfermarkt.com/jasper-samooja/profil/spieler/712911","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","5","Marin Pongracic","Centre-Back",1997-09-11,26,"Croatia","ACF Fiorentina","1.93","right","2023-07-01","VfL Wolfsburg",NA,7e+06,"https://www.transfermarkt.com/marin-pongracic/profil/spieler/282144","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","6","Federico Baschirotto","Centre-Back",1996-09-20,27,"Italy","US Lecce","1.87","right","2022-07-12","Ascoli Calcio",NA,6e+06,"https://www.transfermarkt.com/federico-baschirotto/profil/spieler/351955","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","59","Ahmed Touba","Centre-Back",1998-03-13,26,"Algeria","Panathinaikos FC","1.9","left","2023-08-27","Basaksehir FK",NA,1600000,"https://www.transfermarkt.com/ahmed-touba/profil/spieler/325924","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","55","Kastriot Dermaku","Centre-Back",1992-01-15,32,"Albania","Without Club","1.94","right","2021-08-30","Parma Calcio 1913",NA,250000,"https://www.transfermarkt.com/kastriot-dermaku/profil/spieler/163647","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Sebastian Esposito","Centre-Back",2005-04-21,19,"Australia","US Lecce","1.91","right","2024-07-01","Lecce Primavera",NA,2e+05,"https://www.transfermarkt.com/sebastian-esposito/profil/spieler/1118086","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Mats Lemmens","Centre-Back",2002-03-10,22,"Belgium","RWDM Brussels","1.86","right","2022-07-01","Lecce Primavera",NA,150000,"https://www.transfermarkt.com/mats-lemmens/profil/spieler/805696","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","26","Zinedin Smajlović","Centre-Back",2003-12-20,20,"Sweden","Sandefjord Fotball","1.91","left","2023-07-19","Täby FK",NA,1e+05,"https://www.transfermarkt.com/zinedin-smajlovic/profil/spieler/958649","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","13","Patrick Dorgu","Left-Back",2004-10-26,19,"Denmark","Manchester United","1.85","left","2023-07-01","FC Nordsjaelland U19",NA,1.2e+07,"https://www.transfermarkt.com/patrick-dorgu/profil/spieler/926952","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","25","Antonino Gallo","Left-Back",2000-01-05,24,"Italy","US Lecce","1.83","left","2019-07-25","SSD Palermo",NA,4500000,"https://www.transfermarkt.com/antonino-gallo/profil/spieler/392516","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","17","Valentin Gendrey","Right-Back",2000-06-21,24,"France","TSG 1899 Hoffenheim","1.79","right","2021-07-29","Amiens SC",NA,7e+06,"https://www.transfermarkt.com/valentin-gendrey/profil/spieler/569387","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","12","Lorenzo Venuti","Right-Back",1995-04-12,29,"Italy","UC Sampdoria","1.79","right","2023-07-14","ACF Fiorentina",NA,1200000,"https://www.transfermarkt.com/lorenzo-venuti/profil/spieler/240219","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","20","Ylber Ramadani","Defensive Midfield",1996-04-12,28,"Albania","US Lecce","1.85","right","2023-08-04","Aberdeen FC",NA,4e+06,"https://www.transfermarkt.com/ylber-ramadani/profil/spieler/442703","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","29","Alexis Blin","Defensive Midfield",1996-09-16,27,"France","Palermo FC","1.86","right","2021-07-01","Amiens SC",NA,3e+06,"https://www.transfermarkt.com/alexis-blin/profil/spieler/236041","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","23","Giacomo Faticanti","Defensive Midfield",2004-07-31,19,"Italy","US Lecce","1.86","right","2023-08-25","Roma U19",NA,8e+05,"https://www.transfermarkt.com/giacomo-faticanti/profil/spieler/651002","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Youssef Maleh","Central Midfield",1998-08-22,25,"Morocco","US Lecce","1.79","left","2023-07-01","ACF Fiorentina",NA,4500000,"https://www.transfermarkt.com/youssef-maleh/profil/spieler/324377","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","16","Joan González","Central Midfield",2002-02-01,22,"Spain",NA,"1.9","right","2022-07-01","Lecce Primavera",NA,4500000,"https://www.transfermarkt.com/joan-gonzalez/profil/spieler/692209","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","77","Mohamed Kaba","Central Midfield",2001-10-27,22,"France","US Lecce","1.85","right","2023-08-14","Valenciennes FC",NA,3500000,"https://www.transfermarkt.com/mohamed-kaba/profil/spieler/911328","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","8","Hamza Rafia","Central Midfield",1999-04-02,25,"Tunisia","US Lecce","1.81","right","2023-07-18","Delfino Pescara 1936",NA,1700000,"https://www.transfermarkt.com/hamza-rafia/profil/spieler/418571","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","83","Daniel Samek","Central Midfield",2004-02-19,20,"Czech Republic","SK Artis Brno","1.84","right","2022-07-30","SK Slavia Prague",NA,1200000,"https://www.transfermarkt.com/daniel-samek/profil/spieler/671542","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Thórir Jóhann Helgason","Central Midfield",2000-09-28,23,"Iceland","US Lecce","1.87","right","2021-07-15","FH Hafnarfjördur",NA,1e+06,"https://www.transfermarkt.com/thorir-johann-helgason/profil/spieler/488996","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","18","Medon Berisha","Central Midfield",2003-10-21,20,"Albania","US Lecce","1.86","right","2022-07-01","Lecce Primavera",NA,1e+06,"https://www.transfermarkt.com/medon-berisha/profil/spieler/583046","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","10","Rémi Oudin","Attacking Midfield",1996-11-18,27,"France","US Lecce","1.86","left","2023-08-28","FC Girondins Bordeaux",NA,3500000,"https://www.transfermarkt.com/remi-oudin/profil/spieler/399543","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","19","Marcin Listkowski","Attacking Midfield",1998-02-10,26,"Poland","Jagiellonia Bialystok","1.78","both","2020-09-01","Pogon Szczecin",NA,2e+05,"https://www.transfermarkt.com/marcin-listkowski/profil/spieler/291276","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","22","Lameck Banda","Left Winger",2001-01-29,23,"Zambia","US Lecce","1.69","right","2022-08-04","Maccabi Petah Tikva",NA,6e+06,"https://www.transfermarkt.com/lameck-banda/profil/spieler/545538","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Federico Di Francesco","Left Winger",1994-06-14,30,"Italy","Palermo FC","1.71","right","2022-07-31","SPAL",NA,1400000,"https://www.transfermarkt.com/federico-di-francesco/profil/spieler/38607","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","11","Nicola Sansone","Left Winger",1991-09-10,32,"Italy","Without Club","1.74","right","2023-09-11","Without Club",NA,1e+06,"https://www.transfermarkt.com/nicola-sansone/profil/spieler/82048","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","27","Gabriel Strefezza","Right Winger",1997-04-18,27,"Brazil","Como 1907","1.68","right","2021-08-12","SPAL",NA,6e+06,"https://www.transfermarkt.com/gabriel-strefezza/profil/spieler/457673","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","7","Pontus Almqvist","Right Winger",1999-07-10,24,"Sweden","Parma Calcio 1913","1.83","left","2023-07-01","FC Rostov",NA,3e+06,"https://www.transfermarkt.com/pontus-almqvist/profil/spieler/300532","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","50","Santiago Pierotti","Right Winger",2001-04-03,23,"Argentina","US Lecce","1.89","right","2024-01-16","CA Colón",NA,2500000,"https://www.transfermarkt.com/santiago-pierotti/profil/spieler/674806","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","24","Jeppe Corfitzen","Right Winger",2004-12-29,19,"Denmark","Without Club","1.79","left","2023-07-01","Lecce Primavera",NA,4e+05,"https://www.transfermarkt.com/jeppe-corfitzen/profil/spieler/709985","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","9","Nikola Krstović","Centre-Forward",2000-04-05,24,"Montenegro","US Lecce","1.85","right","2023-08-18","DAC Dunajska Streda",NA,6e+06,"https://www.transfermarkt.com/nikola-krstovic/profil/spieler/434433","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","91","Roberto Piccoli","Centre-Forward",2001-01-27,23,"Italy","Cagliari Calcio","1.9","right","2023-08-31","Atalanta BC",NA,4e+06,"https://www.transfermarkt.com/roberto-piccoli/profil/spieler/432092","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Assan Ceesay","Centre-Forward",1994-03-17,30,"The Gambia","Damac FC","1.88","left","2022-07-01","FC Zürich",NA,2e+06,"https://www.transfermarkt.com/assan-ceesay/profil/spieler/388382","2023-2024","Serie A"
