index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
28,28,Sergi Altimira,es ESP,MF,Betis,22,2001,32,22,1972,21.9,0,1,1,0,0,0,4,0,1.7,1.6,1.7,3.3,25,99,30,0.00,0.05,0.05,0.00,0.05,0.08,0.08,0.16,0.07,0.15,Matches
29,29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,26,16,1572,17.5,4,3,7,4,0,0,6,0,2.5,2.5,1.1,3.6,74,60,171,0.23,0.17,0.40,0.23,0.40,0.14,0.07,0.21,0.14,0.21,Matches
30,30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,37,30,2509,27.9,17,4,21,13,4,4,5,0,14.1,11.0,5.3,16.3,79,92,162,0.61,0.14,0.75,0.47,0.61,0.51,0.19,0.70,0.39,0.59,Matches
31,31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,21,20,1781,19.8,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,19,105,0,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04,Matches
32,32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,24,18,1376,15.3,3,1,4,2,1,1,6,0,3.5,2.7,1.1,3.8,24,57,27,0.20,0.07,0.26,0.13,0.20,0.23,0.07,0.30,0.18,0.25,Matches
33,33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,13,5,375,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,10,12,29,0.00,0.24,0.24,0.00,0.24,0.09,0.13,0.21,0.09,0.21,Matches
34,34,Marcos André,br BRA,FW,Valladolid,27,1996,22,14,1188,13.2,1,2,3,1,0,0,5,0,2.7,2.7,0.8,3.5,11,16,39,0.08,0.15,0.23,0.08,0.23,0.20,0.06,0.27,0.20,0.27,Matches
35,35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.45,0.09,0.54,0.45,0.54,Matches
36,36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,26,13,1022,11.4,0,1,1,0,0,0,3,0,0.9,0.9,1.1,1.9,35,28,63,0.00,0.09,0.09,0.00,0.09,0.08,0.10,0.17,0.08,0.17,Matches
37,37,Antony,br BRA,FW,Betis,24,2000,17,15,1362,15.1,5,2,7,5,0,0,2,1,2.9,2.9,3.5,6.3,94,67,157,0.33,0.13,0.46,0.33,0.46,0.19,0.23,0.42,0.19,0.42,Matches
