nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
kai havertz,Chelsea,12.77656376361847,3.5748752877116203,12.015389770269394,38,17.850972719490528,5.238859623670578,2022-2023,premier-league
yoane wissa,Brentford,5.207585535943508,2.6399280801415443,5.207585535943508,13,11.27296715322882,4.301408238708973,2022-2023,premier-league
philip billing,Bournemouth,4.894198485650122,3.457261343486607,4.894198485650122,27,9.995119906961918,3.561682090163231,2022-2023,premier-league
dwight mcneil,Everton,3.871220519766212,7.44360885117203,3.871220519766212,51,9.874688405543566,2.480967789888382,2022-2023,premier-league
diogo jota,Liverpool,6.437793597579002,1.7756053674966097,6.437793597579002,17,8.173869889229536,3.900222478434444,2022-2023,premier-league
kaoru mitoma,Brighton,9.245785741135478,7.035773795098066,9.245785741135478,40,21.043237909674644,9.100571872666478,2022-2023,premier-league
cody gakpo,Liverpool,6.554539561271668,2.981710772961378,6.554539561271668,23,12.117870450019836,4.4253273122012615,2022-2023,premier-league
joelinton,Newcastle United,6.252544686198235,3.116438364610076,6.252544686198235,26,12.307858122512698,7.0922601986676455,2022-2023,premier-league
danny welbeck,Brighton,9.550176788121462,5.098056230694056,9.550176788121462,30,16.103102758526802,5.398822439834476,2022-2023,premier-league
anthony martial,Manchester United,7.3281096909195185,1.756760749965906,6.566943714395165,12,9.77430764771998,2.775388235226273,2022-2023,premier-league
raheem sterling,Chelsea,7.405153378844261,4.861129405908287,7.405153378844261,34,13.539876326918602,3.041725432500243,2022-2023,premier-league
dominic solanke,Bournemouth,9.317674346268175,3.957623152993619,9.317674346268175,21,14.145027499645948,3.0667414711788297,2022-2023,premier-league
jarrod bowen,West Ham,10.004229810088871,6.90739019960165,8.48189047165215,48,15.171011984348295,3.6215272583067417,2022-2023,premier-league
said benrahma,West Ham,6.350573148578405,4.756499437615275,3.3058972023427486,48,8.221184162423015,2.454255508258939,2022-2023,premier-league
solly march,Brighton,8.069857582449913,9.567008880898356,8.069857582449913,65,22.130394473671917,9.125229258090258,2022-2023,premier-league
douglas luiz,Aston Villa,3.191290902905166,4.567880779504776,3.191290902905166,45,15.93928093276918,11.555413709953427,2022-2023,premier-league
jadon sancho,Manchester United,3.789094930514693,4.790035545825958,3.789094930514693,43,15.04737131856382,7.707608195021747,2022-2023,premier-league
rúben neves,Wolverhampton Wanderers,5.006285472773016,1.8384296027943487,2.722779172472656,32,10.452420154586434,8.169478697702289,2022-2023,premier-league
daniel podence,Wolverhampton Wanderers,3.7195267919451,2.4171172585338354,3.7195267919451,37,7.612551175057888,2.908089326694608,2022-2023,premier-league
jacob ramsey,Aston Villa,5.228078290820122,5.728406075388193,5.228078290820122,42,14.287118025124071,6.712041646242142,2022-2023,premier-league
evan ferguson,Brighton,5.667327303439379,0.6870213840156794,5.667327303439379,11,8.419608421623707,2.7216656310483813,2022-2023,premier-league
michail antonio,West Ham,7.201865157112479,1.6608268171548843,7.201865157112479,15,5.891749322414398,1.3007178837433455,2022-2023,premier-league
kelechi iheanacho,Leicester,6.133550511673093,3.7054135501384735,5.372381644323468,22,9.021692022681236,1.8175414633005855,2022-2023,premier-league
jack grealish,Manchester City,4.998198181390762,7.464956499636173,4.998198181390762,50,18.557112345471975,8.295533634722233,2022-2023,premier-league
willian,Fulham,3.383236724883318,5.042201226577163,3.383236724883318,51,9.590186490677295,3.7871379032731056,2022-2023,premier-league
riyad mahrez,Manchester City,5.864552567712963,6.157492842525244,5.1033805115148425,51,18.33359582722187,11.644092932343485,2022-2023,premier-league
abdoulaye doucouré,Everton,3.214016545563936,2.4725133273750544,3.214016545563936,22,5.765182003378868,1.7658195812255144,2022-2023,premier-league
jefferson lerma,Bournemouth,3.1550366831943397,2.628147560171783,3.1550366831943397,18,7.719455648213625,5.278287973254919,2022-2023,premier-league
emiliano buendía,Aston Villa,5.6266536470502615,4.373138631694019,5.6266536470502615,40,15.272164912894368,7.626095078885555,2022-2023,premier-league
odsonne edouard,Crystal Palace,5.535292422398925,1.2745107971131802,5.535292422398925,17,7.545081002637744,2.812871368601918,2022-2023,premier-league
rodrigo bentancur,Tottenham,2.4369436921551824,0.6443385947495699,2.4369436921551824,11,8.615036329254508,6.708776051178575,2022-2023,premier-league
morgan gibbs-white,"Nottingham Forest,Wolverhampton Wanderers",6.6556903049349785,7.807910647243261,5.133352592587471,67,13.668892225250602,4.559631913900375,2022-2023,premier-league
