nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
gonçalo guedes,3.3298932649195194,1.434443952515721,3.3298932649195194,14,5.649957980960608,1.7406257223337889,2024-2025,premier-league
jan bednarek,1.0302477153018117,0.3539321832358837,1.0302477153018117,5,6.619636853225529,6.190516717731953,2024-2025,premier-league
rodrigo bentancur,1.3008952122181654,0.3507859818637371,1.3008952122181654,9,8.430497603490949,7.863584054633975,2024-2025,premier-league
enes ünal,2.016992896795273,0.545154508203268,2.016992896795273,4,2.6258721854537725,0.9348652940243484,2024-2025,premier-league
david brooks,2.8713680896908045,1.7746479772031307,2.8713680896908045,19,6.463442295789719,3.160865820944309,2024-2025,premier-league
tom cairney,0.7964487187564373,1.6266533425077796,0.7964487187564373,10,6.079954030923545,5.425033033825457,2024-2025,premier-league
matt doherty,1.576674222946167,1.7241646945476532,1.576674222946167,12,8.057520560920238,6.344307072460651,2024-2025,premier-league
william saliba,3.196498431265354,0.7513726502656937,3.196498431265354,7,14.34530510380864,14.299853567034006,2024-2025,premier-league
pedro porro,1.8372661639004944,6.575961069203913,1.8372661639004944,57,15.45052813179791,12.003311963751912,2024-2025,premier-league
ezri konsa ngoyo,1.103471640497446,0.4107247851788997,1.103471640497446,6,9.736158462241292,9.216016562655568,2024-2025,premier-league
james justin,2.046646734699607,0.9606930930167435,2.046646734699607,15,6.922428992576897,5.915292138233781,2024-2025,premier-league
jean-ricner bellegarde,1.7939026495441794,4.052603563293815,1.7939026495441794,26,9.27028871141374,4.406124430708587,2024-2025,premier-league
matthijs de ligt,2.871978895738721,0.281110018491745,2.871978895738721,6,5.249729173257947,4.991321381181479,2024-2025,premier-league
marshall munetsi,2.8331323377788067,1.988670129328966,2.8331323377788067,9,5.903076875954866,1.3661639597266912,2024-2025,premier-league
riccardo calafiori,0.7747622476890683,0.4056127071380615,0.7747622476890683,6,4.117603804916143,3.7665633261203766,2024-2025,premier-league
tariq lamptey,0.3391416240483522,0.8965721465647221,0.3391416240483522,5,2.2554087787866592,1.4430722370743752,2024-2025,premier-league
hee-chan hwang,0.7990479003638029,0.2850785907357931,0.7990479003638029,3,2.01325161755085,0.9641339294612408,2024-2025,premier-league
mikkel damsgaard,3.476722192019224,9.246257283724844,3.476722192019224,63,19.425128288567063,11.846998741850255,2024-2025,premier-league
elliot anderson,2.230010911822319,4.1257980996742845,2.230010911822319,37,9.88364265859127,6.357638165354729,2024-2025,premier-league
nathan broadhead,1.828265825286508,0.8385746516287327,1.828265825286508,7,4.232192199677229,2.159004925750196,2024-2025,premier-league
